sourcetype,layer,layer_no,dashboard
ai:gpu:metrics,compute,01,ai_infrastructure_health
ai:gpu:fault,compute,01,ai_infrastructure_health
cisco:ucs:alarm,compute,01,ai_infrastructure_health
cisco:ucs:inventory,compute,01,ai_infrastructure_health
cisco:ucs:audit,compute,01,ai_infrastructure_health
cisco:nexus:interface,network,02,ai_network_fabric
cisco:nexus:anomaly,network,02,ai_network_fabric
cisco:nexus:config,network,02,ai_network_fabric
ai:path:test,network,02,ai_network_fabric
kube:events,platform,03,ai_platform_workloads
ai:inference:server,platform,03,ai_platform_workloads
ai:job:lifecycle,platform,03,ai_platform_workloads
gen_ai:request,application,04,ai_applications
gen_ai:guardrail,application,04,ai_applications
ai:eval:run,model,05,model_performance_quality
gen_ai:agent:run,agent,06,ai_agents
gen_ai:agent:step,agent,06,ai_agents
ai:cost:daily,efficiency,07,ai_cost_unit_economics
ai:cost:tokens,efficiency,07,ai_cost_unit_economics
aws:cloudtrail:sim,security,08,ai_security_posture
k8s:audit:sim,security,08,ai_security_posture
iam:sim,security,08,ai_security_posture
ai:security:finding,security,08,ai_security_posture
ai:scoreboard,summary,09,ai_operations_executive_overview
ai:incident,summary,09,ai_operations_executive_overview
ai:alert,summary,09,ai_operations_executive_overview
