node,ai_pod,server_model,gpu_model,gpu_count,leaf_switch,leaf_port,cost_center
dc1-ucs-cpu-01,aipod-dc1,UCS C225 M8,none,0,dc1-leaf-111,Eth1/25,CC-5102
dc1-ucs-cpu-02,aipod-dc1,UCS C225 M8,none,0,dc1-leaf-111,Eth1/26,CC-5102
dc1-ucs-cpu-03,aipod-dc1,UCS C225 M8,none,0,dc1-leaf-111,Eth1/27,CC-5102
dc1-ucs-cpu-04,aipod-dc1,UCS C225 M8,none,0,dc1-leaf-111,Eth1/28,CC-5102
dc1-ucs-gpu-01,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/01,CC-5102
dc1-ucs-gpu-02,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/02,CC-5102
dc1-ucs-gpu-03,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/03,CC-5102
dc1-ucs-gpu-04,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/04,CC-5102
dc1-ucs-gpu-05,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/05,CC-5102
dc1-ucs-gpu-06,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/06,CC-5102
dc1-ucs-gpu-07,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-112,Eth1/14,CC-5102
dc1-ucs-gpu-08,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/08,CC-5102
dc1-ucs-gpu-09,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/09,CC-5102
dc1-ucs-gpu-10,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/10,CC-5102
dc1-ucs-gpu-11,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-113,Eth1/22,CC-5102
dc1-ucs-gpu-12,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/12,CC-5102
dc1-ucs-gpu-13,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/13,CC-5102
dc1-ucs-gpu-14,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/14,CC-5102
dc1-ucs-gpu-15,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/15,CC-5102
dc1-ucs-gpu-16,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/16,CC-5102
dc1-ucs-gpu-17,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/17,CC-5102
dc1-ucs-gpu-18,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/18,CC-5102
dc1-ucs-gpu-19,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/19,CC-5102
dc1-ucs-gpu-20,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/20,CC-5102
dc1-ucs-gpu-21,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-112,Eth1/31,CC-5102
dc1-ucs-gpu-22,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/22,CC-5102
dc1-ucs-gpu-23,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/23,CC-5102
dc1-ucs-gpu-24,aipod-dc1,UCS C885A M8,H100-SXM-80GB,8,dc1-leaf-111,Eth1/24,CC-5102
dc2-ucs-cpu-01,aipod-dc2,UCS C225 M8,none,0,dc2-leaf-201,Eth1/25,CC-4523
dc2-ucs-cpu-02,aipod-dc2,UCS C225 M8,none,0,dc2-leaf-201,Eth1/26,CC-4523
dc2-ucs-cpu-03,aipod-dc2,UCS C225 M8,none,0,dc2-leaf-201,Eth1/27,CC-4523
dc2-ucs-cpu-04,aipod-dc2,UCS C225 M8,none,0,dc2-leaf-201,Eth1/28,CC-4523
dc2-ucs-gpu-01,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/01,CC-4523
dc2-ucs-gpu-02,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-203,Eth1/17,CC-4523
dc2-ucs-gpu-03,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/03,CC-4523
dc2-ucs-gpu-04,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/04,CC-4523
dc2-ucs-gpu-05,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/05,CC-4523
dc2-ucs-gpu-06,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/06,CC-4523
dc2-ucs-gpu-07,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/07,CC-4523
dc2-ucs-gpu-08,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/08,CC-4523
dc2-ucs-gpu-09,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/09,CC-4523
dc2-ucs-gpu-10,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/10,CC-4523
dc2-ucs-gpu-11,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/11,CC-4523
dc2-ucs-gpu-12,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/12,CC-4523
dc2-ucs-gpu-13,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/13,CC-6010
dc2-ucs-gpu-14,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/14,CC-6010
dc2-ucs-gpu-15,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/15,CC-6010
dc2-ucs-gpu-16,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/16,CC-6010
dc2-ucs-gpu-17,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/17,CC-6010
dc2-ucs-gpu-18,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/18,CC-6010
dc2-ucs-gpu-19,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-207,Eth1/03,CC-6010
dc2-ucs-gpu-20,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/20,CC-6010
dc2-ucs-gpu-21,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/21,CC-6010
dc2-ucs-gpu-22,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/22,CC-6010
dc2-ucs-gpu-23,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/23,CC-6010
dc2-ucs-gpu-24,aipod-dc2,UCS C885A M8,H100-SXM-80GB,8,dc2-leaf-201,Eth1/24,CC-6010
lab-ucs-gpu-01,aipod-lab,UCS C885A M8,H100-SXM-80GB,8,lab-leaf-151,Eth1/01,CC-4490
lab-ucs-gpu-02,aipod-lab,UCS C885A M8,H100-SXM-80GB,8,lab-leaf-151,Eth1/02,CC-4490
lab-ucs-gpu-03,aipod-lab,UCS C885A M8,H100-SXM-80GB,8,lab-leaf-151,Eth1/03,CC-4490
lab-ucs-gpu-04,aipod-lab,UCS C885A M8,H100-SXM-80GB,8,lab-leaf-158,Eth1/09,CC-4490
lab-ucs-gpu-05,aipod-lab,UCS C885A M8,H100-SXM-80GB,8,lab-leaf-151,Eth1/05,CC-4490
lab-ucs-gpu-06,aipod-lab,UCS C885A M8,H100-SXM-80GB,8,lab-leaf-151,Eth1/06,CC-4490
lab-ucs-gpu-07,aipod-lab,UCS C885A M8,H100-SXM-80GB,8,lab-leaf-151,Eth1/07,CC-4490
lab-ucs-gpu-08,aipod-lab,UCS C885A M8,H100-SXM-80GB,8,lab-leaf-151,Eth1/08,CC-4490
lab-ucs-gpu-09,aipod-lab,UCS C885A M8,H100-SXM-80GB,8,lab-leaf-151,Eth1/09,CC-4490
lab-ucs-gpu-10,aipod-lab,UCS C885A M8,H100-SXM-80GB,8,lab-leaf-151,Eth1/10,CC-4490
lab-ucs-gpu-11,aipod-lab,UCS C885A M8,H100-SXM-80GB,8,lab-leaf-151,Eth1/11,CC-4490
lab-ucs-gpu-12,aipod-lab,UCS C885A M8,H100-SXM-80GB,8,lab-leaf-151,Eth1/12,CC-4490
lab-ucs-gpu-13,aipod-lab,UCS C885A M8,H100-SXM-80GB,8,lab-leaf-151,Eth1/13,CC-4490
lab-ucs-gpu-14,aipod-lab,UCS C885A M8,H100-SXM-80GB,8,lab-leaf-151,Eth1/14,CC-4490
lab-ucs-gpu-15,aipod-lab,UCS C885A M8,H100-SXM-80GB,8,lab-leaf-151,Eth1/15,CC-4490
lab-ucs-gpu-16,aipod-lab,UCS C885A M8,H100-SXM-80GB,8,lab-leaf-151,Eth1/16,CC-4490
